stock_code,corp_name,market,corp_code,modify_date
002710,TCC스틸,KOSPI,00117300,20230220
002720,국제약품,KOSPI,00104722,20230223
002760,보락,KOSPI,00123107,20221130
002780,진흥기업,KOSPI,00150828,20230220
002790,아모레퍼시픽그룹,KOSPI,00154462,20230320
002800,신신제약,KOSDAQ,00136448,20230214
002810,삼영무역,KOSPI,00127167,20230222
002820,SUN&L,KOSPI,00132211,20230616
002840,미원상사,KOSPI,00121932,20230329
002870,신풍,KOSPI,00137368,20221128
002880,대유에이텍,KOSPI,00149804,20230216
002900,TYM,KOSPI,00117230,20230119
002920,유성기업,KOSPI,00174004,20230215
002960,한국쉘석유,KOSPI,00158149,20221202
002990,금호건설,KOSPI,00106313,20230216
003000,부광약품,KOSPI,00123718,20221209
003010,혜인,KOSPI,00165343,20230221
003030,세아제강지주,KOSPI,00124197,20221208
003060,에이프로젠바이오로직스,KOSPI,00101044,20231016
003070,코오롱글로벌,KOSPI,00152880,20230109
003080,성보화학,KOSPI,00132725,20230214
003090,대웅,KOSPI,00111810,20221214
003100,선광,KOSDAQ,00131896,20230223
003120,일성신약,KOSPI,00146214,20230901
003160,디아이,KOSPI,00118275,20221205
003200,일신방직,KOSPI,00146269,20221202
003220,대원제약,KOSPI,00111999,20230213
003230,삼양식품,KOSPI,00126955,20230814
003240,태광산업,KOSPI,00153393,20221215
003280,흥아해운,KOSPI,00167208,20231010
003300,한일홀딩스,KOSPI,00162993,20230112
003310,대주산업,KOSDAQ,00112457,20230515
003350,한국화장품제조,KOSPI,00160621,20221206
003380,하림지주,KOSDAQ,00148364,20230220
003410,쌍용씨앤이,KOSPI,00138224,20230104
003460,유화증권,KOSPI,00145190,20230222
003470,유안타증권,KOSPI,00117601,20221227
003480,한진중공업홀딩스,KOSPI,00163673,20230223
003490,대한항공,KOSPI,00113526,20221229
003520,영진약품,KOSPI,00141149,20220907
003530,한화투자증권,KOSPI,00148610,20230725
003540,대신증권,KOSPI,00110893,20230131
003550,LG,KOSPI,00120021,20221220
003560,아이에이치큐,KOSPI,00154426,20231024
003570,SNT다이내믹스,KOSPI,00134477,20230315
003580,HLB글로벌,KOSPI,00169048,20230630
003610,방림,KOSPI,00122348,20220831
003620,KG모빌리티,KOSPI,00138242,20230403
003650,미창석유공업,KOSPI,00122056,20220223
003670,포스코퓨처엠,KOSPI,00155276,20230620
003680,한성기업,KOSPI,00161860,20230223
003690,코리안리,KOSPI,00113191,20230106
003720,삼영,KOSPI,00127255,20230424
003780,진양산업,KOSPI,00150439,20230317
003800,에이스침대,KOSDAQ,00140052,20230215
003830,대한화섬,KOSPI,00113544,20230109
003850,보령,KOSPI,00123143,20230814
003920,남양유업,KOSPI,00107598,20221219
